,aliases,align,alive,appearances,birth,character_id,character_name,count_of_issue_appearances,deck,eye,first_appeared_in_issue,gsm,hair,identity_type,image,join_name,origin,page_id,powers,publisher,real_name,sex,teams,year
10,Conner Kent; Connor Kent; Carl Krummet; The Teen of Steel; The Boy of Steel,Good Characters,Living Characters,560,,1686,Kon-El,1475,Kon-El/Conner Kent is a human/Kryptonian hybrid clone and was created to be the ultimate living weapon.,Blue Eyes,Jun-93,,Black Hair,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/6640750-superboy.jpg,kon-el_jun_93,Other,14006,Flight; Super Strength; Super Speed; Agility; Stamina; Invulnerability; Telepathy; Telekinesis; Intellect; Force Field; Blast Power; Healing; Psionic; Unarmed Combat; Gadgets; Danger Sense; Heat Vision; Energy Absorption; Berserker Strength; Leadership; Longevity,DC Comics,Kon-El / Conner Kent,Male Characters,,1993
11,"John Stewart
Green Lantern
Green Lantern 2814.2
Darkstar
Hunger Dog
GL
Master Builder",Good Characters,Living Characters,549,,10451,John Stewart,1409,"Formerly an architect, social activist, and U.S. Marine sniper, John Stewart was selected by the Guardians of the Universe to be one of the Green Lanterns for Sector 2814. His distinguished service in the Corps has resulted in a place among the Oan Honor Guard and the position of chief trainer for new Lantern recruits.",Brown Eyes,Dec-71,,Black Hair,Public Identity,https://comicvine.gamespot.com/api/image/scale_large/6562174-8046460516-bJJNG.jpg,john_stewart_dec_71,Human,1478,Flight; Super Strength; Super Speed; Invulnerability; Intellect; Force Field; Blast Power; Healing; Weapon Master; Invisibility; Phasing / Ghost; Unarmed Combat; Tracking; Astral Projection; Danger Sense; Energy-Enhanced Strike; Light Projection; Holographic Projection; Marksmanship; Power Item; Energy Absorption; Willpower-Based Constructs; Energy Based Constructs; Leadership,DC Comics,John Stewart,Male Characters,,1971
12,"Sgt. Harvey Bullock
Doughnut Dunker",Good Characters,Living Characters,413,,5554,Harvey Bullock,901,"Harvey Bullock was once a corrupt GCPD cop, until he turned over a new leaf and made a conscious effort to be an honest lawman. He is now one of Jim Gordon's most trusted officers.",Brown Eyes,Jul-74,,Black Hair,Public Identity,https://comicvine.gamespot.com/api/image/scale_large/2693170-screen_shot_2012_11_07_at_11.58.13_pm.png,harvey_bullock_jul_74,Human,1662,Marksmanship; Leadership,DC Comics,Harvey Bullock,Male Characters,,1974
13,"John Smith
Reddy
Ulthoon
Tornado Tyrant of Rann
Tornado Champion
Tornado",Good Characters,Living Characters,374,,1688,Red Tornado,806,An android created by the supervillian T.O. Morrow to infiltrate the Justice Society of America. The android has since become a noble superhero and member of the Justice League.,Green Eyes,Aug-68,,,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/6032520-rt.jpg,red_tornado_aug_68,Robot,2433,Flight; Super Strength; Super Speed; Stamina; Invulnerability; Healing; Invisibility; Unarmed Combat; Weather Control; Immortal; Wind Bursts,DC Comics,Red Tornado,Male Characters,,1968
14,The Main Man; Scourge o' the Cosmos; The Last Czarnian; The Destroyer; The Master Fragger,Neutral Characters,Living Characters,353,,6578,Lobo,796,"The last of the Czarnians, Lobo is known and feared across the universe as a bounty hunter who never misses his mark. Super-strong, immortal and unkillable, the Main Man has frequently clashed with Superman, although they have on occasion found themselves on the same side.",Red Eyes,Jun-83,,Black Hair,Public Identity,https://comicvine.gamespot.com/api/image/scale_large/6041290-ojvksue.jpg,lobo_jun_83,Alien,1564,Super Strength; Super Speed; Agility; Stamina; Invulnerability; Intellect; Blast Power; Healing; Weapon Master; Super Smell; Phasing / Ghost; Insanely Rich; Unarmed Combat; Gadgets; Immortal; Tracking; Astral Projection; Possession; Adaptive; Energy-Enhanced Strike; Duplication; Dimensional Manipulation; Enhance Mutation; Omni-lingual; Darkforce Manipulation; Marksmanship; Genetic Manipulation; Energy Absorption; Stealth; Berserker Strength; Longevity,DC Comics,Lobo,Male Characters,,1983
15,Star Sapphire; Lady Ferris; Queen of the Star Sapphires,Neutral Characters,Living Characters,319,,18276,Carol Ferris,806,"Carol used to be a pilot, but, after her father retired, she gave it up to run the family business (Ferris Air, a company in Coast City that makes aircraft). She hired her childhood friend, Hal Jordan, as a test pilot. Soon after Hal became a Green Lantern, Carol found herself possessed by a Star Sapphire gem. The gem gave her power, but also altered her personality when used. After the formation of the Star Sapphire Corps however, Carol has been able to remain herself and act as a hero.",Blue Eyes,Oct-59,,Black Hair,Public Identity,https://comicvine.gamespot.com/api/image/scale_large/3975415-9483042111-Infin.jpg,carol_ferris_oct_59,Human,1625,Flight; Super Speed; Agility; Stamina; Telekinesis; Intellect; Teleport; Force Field; Blast Power; Healing; Unarmed Combat; Precognition; Energy-Enhanced Strike; Light Projection; Reality Manpulation; Swordsmanship; Levitation; Omni-lingual; Energy Shield; Empathy; Marksmanship; Time Manipulation; Power Item; Energy Manipulation; Energy Based Constructs; Leadership,DC Comics,Carol Ferris,Female Characters,,1959
16,Captain-General of the Fifteenth Diabolical Host; Demon-Killer; Etrigan; Etrigan the Demon; Etty,Neutral Characters,Living Characters,311,,7367,Etrigan,721,"One of the most notorious of Hell's demons, Etrigan's soul was merged with the body of a human man, Jason Blood, who calls upon the demon's terrifying power to fight the forces of darkness.",Red Eyes,Sep-72,,,Public Identity,https://comicvine.gamespot.com/api/image/scale_large/2836747-etrigan.jpg,etrigan_sep_72,Other,3458,Flight; Super Strength; Super Speed; Agility; Invulnerability; Telepathy; Healing; Magic; Shape Shifter; Fire Control; Feral; Insanely Rich; Unarmed Combat; Divine Powers; Immortal; Necromancy; Ice Control; Precognition; Swordsmanship; Soul Absorption; Claws; Chemical Secretion; Berserker Strength; Leadership; Longevity; Flame Breath; Hellfire Control,DC Comics,Jason Blood/Etrigan,Male Characters,,1972
17,The Chosen One; Avatar of the Green; Black Avatar; Nekron; Swamp Thing,Good Characters,Living Characters,309,,15809,Swamp Thing,740,"Botanist Alec Holland became the avatar of the Green, known as the Swamp Thing, following his death in a swamp as a result of a horrific accident. With the ability to control any form of plant life, Swamp Thing uses his powers to protect both the human and the plant worlds.",Red Eyes,Nov-72,,,Public Identity,https://comicvine.gamespot.com/api/image/scale_large/2225341-2133495_swamp_thing.jpg,swamp_thing_nov_72,God/Eternal,261362,Flight; Super Strength; Stamina; Invulnerability; Intellect; Teleport; Healing; Magic; Chameleon; Shape Shifter; Unarmed Combat; Divine Powers; Size Manipulation; Immortal; Necromancy; Sub-Mariner; Astral Projection; Possession; Animation; Soul Absorption; Duplication; Time Travel; Earth Manipulation; Plant Control; Poisonous; Chemical Secretion; Cosmic Awareness; Chemical Absorbtion; Longevity,DC Comics,Alec Holland,Male Characters,,1972
18,"Detective Montoya
Q
Question
Renee Maria Montoya",Good Characters,Living Characters,308,"Sep 7, 1970",3716,Renee Montoya,654,"A former GCPD detective, Renee became the new Question after the death of Vic Sage.",Brown Eyes,Mar-92,Homosexual Characters,Black Hair,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/4428310-question_rm_01.jpg,renee_montoya_mar_92,Human,8856,Agility; Stamina; Weapon Master; Chameleon; Unarmed Combat; Gadgets; Tracking; Marksmanship; Stealth,DC Comics,Renee Maria Montoya,Female Characters,,1992
19,Jonah Woodson Hex; Jonah Hex ; The Mark of the Demon; Lieutenant Hex ; The Scar,Good Characters,Deceased Characters,291,"Nov 1, 1838",3614,Jonah Hex,429,"A Civil War veteran turned bounty hunter, Jonah Hex's disfigured face and boorish personality don't win him many friends, but his code of honor and expert marksmanship skills means he's always willing to fight for and protect the innocent and dispense lethal justice.",Blue Eyes,Mar-72,,Blond Hair,Public Identity,https://comicvine.gamespot.com/api/image/scale_large/3439798-20169_900x1350.jpg,jonah_hex_mar_72,Human,7155,Agility; Stamina; Intellect; Healing; Magic; Weapon Master; Unarmed Combat; Gadgets; Escape Artist; Tracking; Swordsmanship; Marksmanship; Stealth; Leadership,DC Comics,Jonah Woodson Hex,Male Characters,,1972
20,"Son of Darkseid
The Dog of War",Good Characters,Deceased Characters,237,,2363,Orion,549,"The son of Darkseid and ward of Highfather, Orion is New Genesis' greatest defender and the fiercest warrior of the Fourth World. Known as 'The Dog of War', Orion constantly struggles to maintain the balance between his peaceful upbringing and brutal nature.",Blue Eyes,Mar-71,,Strawberry Blond Hair,Public Identity,https://comicvine.gamespot.com/api/image/scale_large/6094308-4122376883-%24,orion_mar_71,God/Eternal,1547,Flight; Super Strength; Super Speed; Agility; Stamina; Invulnerability; Intellect; Blast Power; Healing; Magic; Weapon Master; Super Sight; Super Smell; Super Hearing; Magnetism; Feral; Insanely Rich; Unarmed Combat; Gadgets; Divine Powers; Size Manipulation; Immortal; Tracking; Energy-Enhanced Strike; Swordsmanship; Energy Shield; Marksmanship; Power Item; Energy Manipulation; Cosmic Awareness; Stealth; Berserker Strength; Leadership,DC Comics,Orion,Male Characters,,1971
21,"Azrael
Jean-Paul Valley Jr.
The Avenging Angel
The Dark Knight of God
The Punishing Angel
Batman
Black Lantern",Good Characters,Deceased Characters,234,,12834,Jean-Paul Valley,417,"Named after the angel of death, Jean-Paul Valley was an agent of the Sacred Order of Saint Dumas. Jean-Paul becomes a more independent crime fighter after acting as Batman for a time.",Blue Eyes,Oct-92,,Blond Hair,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/5274597-4938094-batman+%26+robin+eternal+%239+-+azrael.jpg,jean-paul_valley_oct_92,Human,1468,Agility; Stamina; Intellect; Healing; Weapon Master; Fire Control; Power Suit; Unarmed Combat; Gadgets; Tracking; Adaptive; Swordsmanship; Marksmanship; Berserker Strength; Leadership; Longevity,DC Comics,Jean-Paul Valley,Male Characters,,1992
22,Jesse Quick; Liberty Belle; Flash; Jessica Belle Chambers,Good Characters,Living Characters,228,,9345,Jesse Chambers,433,"Jesse Chambers is the daughter of the original Liberty Belle and Johnny Quick.  She previously operated under the name Liberty Belle as a member of the JSA. She also was a leader of The Titans as Jesse Quick, and was a member of the Justice League of America.",Blue Eyes,Aug-92,,Blond Hair,Public Identity,https://comicvine.gamespot.com/api/image/scale_large/4181945-jesse%20quick.jpg,jesse_chambers_aug_92,Human,14002,Flight; Super Strength; Super Speed; Agility; Stamina; Intellect; Healing; Phasing / Ghost; Unarmed Combat; Super Eating,DC Comics,Jesse Chambers,Female Characters,,1992
23,Aquagirl; Aquawife; Aquawoman; Mrs. Waterman; Queen of Atlantis,,Living Characters,226,,14654,Mera,719,Mera of Xebel is an Atlantean and famous love interest and wife of Aquaman. She hails from the penal colony of Xebel in the Bermuda Triangle of Atlantean exiles and was tasked with the mission to kill the King of Atlantis before she abandoned her quest when she met and fell in love with Aquaman. Mera has been at Aquaman's side ever since proving to be his most valuable partner in battle and in life.,Blue Eyes,Oct-63,,Red Hair,Public Identity,https://comicvine.gamespot.com/api/image/scale_large/6562177-7051393141-0UJrb.jpg,mera_oct_63,Other,12672,Super Strength; Super Speed; Agility; Stamina; Invulnerability; Intellect; Blast Power; Healing; Magic; Power Suit; Unarmed Combat; Immortal; Electricity Control; Ice Control; Sub-Mariner; Adaptive; Water Control; Stealth; Leadership; Longevity; Blood Control,DC Comics,Mera,Female Characters,,1963
24,"
Doctor Waller
Mama Waller
Mockingbird
Ms. Waller 
White Queen
The Wall",Good Characters,Living Characters,222,,4920,Amanda Waller,806,"A high-level government bureaucrat with an almost completely classified record, Amanda Waller is the ruthless creator and director of Task Force X - better known as the Suicide Squad.",Brown Eyes,Nov-86,,Black Hair,Public Identity,https://comicvine.gamespot.com/api/image/scale_large/6061590-suicide%20squad%20008.jpg,amanda_waller_nov_86,Human,1606,Stamina; Intellect; Tracking; Stealth; Leadership,DC Comics,Amanda Blake Waller,Female Characters,,1986
25,"Spoiler
Robin
Batgirl
Steph
Stephie
Girl Wonder
Katavi",Good Characters,Living Characters,198,"Aug 11, 1992",6156,Stephanie Brown,451,"Stephanie Brown is the Cluemaster's daughter. She becomes the Spoiler to ""spoil"" her father's criminal plots, and dated Tim Drake while he was Robin. Steph temporarily becomes Robin when Tim is forced to quit by his father. Later, she briefly resumes being Spoiler before Cassandra Cain decides to pass her the mantle of Batgirl. In the New 52 and Rebirth, she's back to being The Spoiler.",Blue Eyes,Aug-92,,Blond Hair,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/3975071-bmetrl_cv22_r1_539603620da772.16695411.jpg,stephanie_brown_aug_92,Human,1453,Agility; Stamina; Intellect; Healing; Weapon Master; Invisibility; Insanely Rich; Power Suit; Unarmed Combat; Gadgets; Escape Artist; Tracking; Swordsmanship; Marksmanship; Stealth; Leadership,DC Comics,Stephanie Brown,Female Characters,,1992
26,"Ahwehota
Windrunner
Whip Whirlwind
Quicksilver
The Zen Master of Speed
Bluestreak
Buckshot
Max Crandall
Lightning
The Smilin' Speedster",Good Characters,Living Characters,183,,2379,Max Mercury,274,"The first known human who ever tapped into the Speed Force, ""zen master of speed"" Max Mercury consistently traveled forward through time, always known by a different name over the years. A friend of Jay Garrick and Johnny Quick, Max taught Wally West how to use his speed at it's full potential and became a mentor to Bart Allen, Impulse.",Blue Eyes,Nov-40,,Grey Hair,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/1763782-quicksilver_3_jack_cole_chuck_mazoujian.jpg,max_mercury_nov_40,Human,1434,Super Speed; Agility; Intellect; Healing; Phasing / Ghost; Tracking; Dimensional Manipulation; Time Travel,DC Comics,Max Crandall,Male Characters,,1940
27,"Warlord 
The Warlord for Skartaris",Good Characters,Deceased Characters,180,,30892,Travis Morgan,247,"A Vietnam veteran who found himself in the magical world of Skartaris, Travis Morgan is a brilliant military strategist and leader, a formidable hand-to-hand combatant, a superb marksman and an extraordinary swordsman.",Blue Eyes,Nov-75,,White Hair,Public Identity,https://comicvine.gamespot.com/api/image/scale_large/4498333-screen%20shot%202015-04-09%20at%204.57.44%20pm.png,travis_morgan_nov_75,Human,12408,Agility; Stamina; Intellect; Weapon Master; Unarmed Combat; Gadgets; Escape Artist; Tracking; Swordsmanship; Marksmanship; Stealth; Leadership,DC Comics,Travis Morgan,Male Characters,,1975
28,Drew Drowden; General Grodd; Grodd of War; William Dawson; Super-Gorilla,Bad Characters,Living Characters,179,,2380,Gorilla Grodd,611,"Gorilla Grodd is a super intelligent, telepathic, anthropomorphic gorilla. A deadly opponent to all of the champions of good, Grodd is most well known for his rivalry with The Flash.",Grey Eyes,May-59,,Black Hair,Public Identity,https://comicvine.gamespot.com/api/image/scale_large/6558615-the_flash_vol_5_39_textless.jpg,gorilla_grodd_may_59,Animal,1518,Super Strength; Super Speed; Agility; Invulnerability; Telepathy; Telekinesis; Intellect; Psychic; Blast Power; Super Hearing; Feral; Psionic; Unarmed Combat; Possession; Animal Control; Hypnosis; Voice-induced Manipulation; Leadership,DC Comics,Grodd,Male Characters,,1959
29,Talia Head; Daughter of the Demon; Talia Demon; The Demon's Head; Leviathan,Bad Characters,Deceased Characters,177,"Dec 1, 1972",4917,Talia al Ghul,559,"Talia is the daughter of Ra's al Ghul and the heir to his world-wide criminal empire. She has been both lover and mortal enemy to Batman, and is the mother of Damian Wayne, the Dark Knight's son.",Brown Eyes,May-71,,Brown Hair,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/2373955-bminc_cv2_var.jpeg,talia_al_ghul_may_71,Human,4778,Agility; Stamina; Intellect; Weapon Master; Insanely Rich; Unarmed Combat; Gadgets; Immortal; Swordsmanship; Marksmanship; Stealth; Leadership; Longevity,DC Comics,Talia al Ghul,Female Characters,,1971
30,"Warrior of Two Worlds
Savior of Rann
Adam Strange ",,Living Characters,177,,4604,Adam Strange,634,A sci-fi character that started during the 50s has held true to the traditions of the typical sci-fi hero archetype with a love story. Adam Strange is also Life's thinker of the Aberrant Six.,Blue Eyes,Dec-58,,Blond Hair,Public Identity,https://comicvine.gamespot.com/api/image/scale_large/3821590-image%20%281%29.png,adam_strange_dec_58,Human,1829,Flight; Stamina; Intellect; Teleport; Weapon Master; Power Suit; Unarmed Combat; Gadgets; Tracking; Levitation; Marksmanship; Stealth; Leadership,DC Comics,Adam Strange,Male Characters,,1958
31,Green Arrow; Robin Hood; The Bowman; Stoic Warrior; Tiger Woods,Good Characters,Living Characters,174,,14257,Connor Hawke,345,"Connor Hawke is the son of Oliver Queen.  During the time of Queen's temporary death, Connor took up the mantle of Green Arrow.  He is among the world's greatest martial artists and archers in the DC universe.",Green Eyes,Oct-94,,Blond Hair,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/4114339-connor_hawke_007.jpg,connor_hawke_oct_94,Human,1717,Agility; Stamina; Healing; Weapon Master; Insanely Rich; Unarmed Combat; Gadgets; Marksmanship,DC Comics,Connor Hawke,Male Characters,,1994
32,"Bob Crane
Charles Grayson
Dr. Crane
Paul Dennis
Robert Crane
Robotman",Good Characters,Living Characters,171,,78498,Robert Crane,278,A scientist whose brain was placed in a robotic body after he was mortally wounded.,Red Eyes,Apr-42,,,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/4188969-untitled-3.jpg,robert_crane_apr_42,Human,11604,Super Strength; Super Speed; Invulnerability; Intellect; Super Sight; Power Suit; Elasticity; Leadership,DC Comics,Robert Crane,Male Characters,,1942
33,Eclipso; Jean Loring; Jean Loring-Palmer; Ms. Atom,Bad Characters,Deceased Characters,168,,22036,Jean Loring,250,"Formerly married to Ray Palmer (the Atom), Jean was a lawyer specializing in criminal law. She lived in Ivy town and helped The Atom on cases at times. Jean later suffered a mental breakdown after accidentally murdering Sue Dibny. While incarcerated at Arkham Asylum, she was taken over by Eclipso and became that entity's new host, remaining so until being killed by Mary Marvel.",Green Eyes,Oct-61,,Black Hair,Public Identity,https://comicvine.gamespot.com/api/image/scale_large/3760643-jeanloring.jpg,jean_loring_oct_61,Human,1482,Intellect,DC Comics,Jean Loring,Female Characters,,1961
34,"Oberon
Oberon-ski",,Living Characters,167,,10190,Oberon,268,Oberon is good friend and father-like figure to Mister Miracle.,Blue Eyes,Apr-71,,White Hair,Public Identity,https://comicvine.gamespot.com/api/image/scale_large/1811663-oberon_1.jpg,oberon_apr_71,Human,7585,Intellect,DC Comics,Oberon,Male Characters,,1971
35,The Only Metal That Is Liquid at Room Temperature,Good Characters,Living Characters,165,,13682,Mercury,305,"Mercury is a big - headed egotistical member of the Metal Men. However, he can be very useful to the team, particularly in his liquid form.",Photocellular Eyes,Apr-62,,,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/6024053-mercury2.jpg,mercury_apr_62,Robot,10969,Flight; Super Strength; Shape Shifter; Implants; Elasticity; Density Control; Stealth,DC Comics,None,Male Characters,,1962
36,"Sharon Magnus
Platinum
Tina
Tina Platt
Platina",Good Characters,Living Characters,164,,13685,Platinum,315,Platinum is a living robot created by Dr. William Magnus. She is designed to mimic the properties of the metal platinum and is the most human personality attributes out of all the Metal Men.,Photocellular Eyes,Apr-62,,,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/6025039-platinum.jpg,platinum_apr_62,Robot,9652,Flight; Super Strength; Invulnerability; Intellect; Shape Shifter; Elasticity; Unarmed Combat; Density Control; Longevity,DC Comics,Platinum,Female Characters,,1962
